job_category,max_salary,min_salary
"Data Science and Research",450.00,16.00
"Data Analysis",430.97,15.00
"Data Engineering",385.00,18.00
"Data Architecture and Modeling",376.08,52.50
"Data Quality and Operations",289.12,23.75
"Data Management and Strategy",250.00,46.40
"Cloud and Database",190.00,115.00
