experience_level,avg_salary_usd,min_salary_usd,max_salary_usd,num_employees
Executive,189462.9146,15000,416000,281
Senior,162356.1261,18381,412000,6709
Mid-level,117523.9181,15000,450000,1869
Entry-level,88534.7762,15000,281700,496
